Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,Tx Power,Skip,Step,Attenuator,Clock Shift,Half Dev,Bank_1,Bank_2,Bank_3,Bank_4,Bank_5,Bank_6,Bank_7,Bank_8,Bank_9,Bank_10,Bank_11,Bank_12,Bank_13,Bank_14,Bank_15,Bank_16,Bank_17,Bank_18,Bank_19,Bank_20,Bank_21,Bank_22,Bank_23,Bank_24,Comment,User CTCSS,S-Meter Squelch,Bell,AMS, ,RX DGID,TX DGID
18,145.6,145.0,600 kHz,Minus,FM,Tamaro,Tone,203.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,18,0,0
19,145.6,145.0,600 kHz,Minus,FM,Mendrisio,Tone,203.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,19,0,0
20,145.6,145.0,600 kHz,Minus,FM,Lugano,Tone,203.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,20,0,0
21,145.6,145.0,600 kHz,Minus,FM,Bellinzona,Tone,203.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,21,0,0
22,145.575,144.975,600 kHz,Minus,FM,Biasca,Tone,103.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,22,0,0
23,439.4875,431.9875,7.50 MHz,Minus,FM,Generoso,Tone,103.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,23,0,0
24,438.675,431.075,7.60 MHz,Minus,FM,Mt BAR,Tone,103.5 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,24,0,0
25,145.7125,145.1125,600 kHz,Minus,FM,Bisbino,Tone,71.9 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,25,0,0
26,430.1875,431.7875,1.60 MHz,Plus,FM,Bisbino U,Tone,156.7 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,26,0,0
27,145.7375,145.1375,600 kHz,Minus,FM,Campo Fiori V,Tone,71.9 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,27,0,0
